item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,found,200,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,found,200,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Cecil's Shrimp-a-Plenty,cecil's shrimp-a-plenty,cecils-shrimp-a-plenty,https://buddy.farm/i/cecils-shrimp-a-plenty/,not_found,404,https://buddy.farm/i/cecils-shrimp-a-plenty/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Heart-shaped Box 01,heart-shaped box 01,heart-shaped-box-01,https://buddy.farm/i/heart-shaped-box-01/,found,200,https://buddy.farm/i/heart-shaped-box-01/,Heart-shaped Box 01,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Heart-shaped Box 02,heart-shaped box 02,heart-shaped-box-02,https://buddy.farm/i/heart-shaped-box-02/,found,200,https://buddy.farm/i/heart-shaped-box-02/,Heart-shaped Box 02,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Heart-shaped Box 03,heart-shaped box 03,heart-shaped-box-03,https://buddy.farm/i/heart-shaped-box-03/,found,200,https://buddy.farm/i/heart-shaped-box-03/,Heart-shaped Box 03,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Heart-shaped Gem,heart-shaped gem,heart-shaped-gem,https://buddy.farm/i/heart-shaped-gem/,found,200,https://buddy.farm/i/heart-shaped-gem/,Heart-shaped Gem,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Jack-o-key,jack-o-key,jack-o-key,https://buddy.farm/i/jack-o-key/,found,200,https://buddy.farm/i/jack-o-key/,Jack-o-key,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Jack-o-lantern,jack-o-lantern,jack-o-lantern,https://buddy.farm/i/jack-o-lantern/,found,200,https://buddy.farm/i/jack-o-lantern/,Jack-o-lantern,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Piñata,piñata,pi-ata,https://buddy.farm/i/pi-ata/,found,200,https://buddy.farm/i/pi-ata/,Piñata,1,non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant,Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation.
Piñata Whop Stick,piñata whop stick,pi-ata-whop-stick,https://buddy.farm/i/pi-ata-whop-stick/,found,200,https://buddy.farm/i/pi-ata-whop-stick/,Piñata Whop Stick,1,non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant,Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Large),pot of gold (large),pot-of-gold-large,https://buddy.farm/i/pot-of-gold-large/,not_found,404,https://buddy.farm/i/pot-of-gold-large/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Medium),pot of gold (medium),pot-of-gold-medium,https://buddy.farm/i/pot-of-gold-medium/,not_found,404,https://buddy.farm/i/pot-of-gold-medium/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Small),pot of gold (small),pot-of-gold-small,https://buddy.farm/i/pot-of-gold-small/,not_found,404,https://buddy.farm/i/pot-of-gold-small/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Shrimp-a-Plenty,shrimp-a-plenty,shrimp-a-plenty,https://buddy.farm/i/shrimp-a-plenty/,found,200,https://buddy.farm/i/shrimp-a-plenty/,Shrimp-a-Plenty,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
