item_name,difficulty,method,notes,tags,passive_craftworks_info,farmrpg_item_id,buddy_item_id,buddy_slug,source_sheet,source_row
Awl,1,Crafting,Very cheap and simple. Can be done entirely passively.,,Passive  - 2,,,,King Mastery Sheet,8
Barracuda,1,Fishing,"Very very low effort, just use Fishing Net and Large Net in Large Island. Make sure to sell these for silver.",,,,,,King Mastery Sheet,10
Board,1,"Crafting, Sawmill",Boards are most people's first mastery and GM. Upgrading your sawmill is essential for Sawmill Silver and many masteries. Check out kings page for lots of craftworks ideas for how to use these entirely passively.,,Passive  - 0,,,,King Mastery Sheet,26
Bone Fish,1,Fishing,A very quick Crystal River mastery.,,,,,,King Mastery Sheet,28
Broom,1,Crafting,Can be made entirely from passive production via craftworks. You should definitely GM this early on... probably even MM it.,,Passive  - 1,,,,King Mastery Sheet,33
Bucket,1,Crafting,"Another very easy mastery that can be done entirely from passive production. Costs a bit more Board than some others, so this is great for overnight crafting. Ideally you want to turn these into Chum to work on that mastery as well.",,Passive  - 1,,,,King Mastery Sheet,34
Bullfish,1,Fishing,When you unlock Glacier Lake you will want to fish there a lot for silver. This will come fairly quickly.,,,,,,King Mastery Sheet,35
Butter Churn,1,Crafting,"Can be made entirely from passive production via craftworks. You should work on this the same time as you're doing Wooden Barrel, and due to resource saver you should get this first. Don't worry about turning them all into Butter.",,,,,,King Mastery Sheet,37
Clam Shell,1,Fishing,Very easy Emerald Beach fishing mastery.,,,,,,King Mastery Sheet,47
Conch Shell,1,Fishing,Very easy Emerald Beach fishing mastery.,,,,,,King Mastery Sheet,51
Crab,1,Fishing,"Once you unlock Pirate's Cove this will be very quick, great silver too.",,,,,,King Mastery Sheet,59
Crappie,1,Fishing,Quick Lake Tempest mastery.,,,,,,King Mastery Sheet,61
Crowfish,1,Fishing,Should come very quickly once you unlock Glacier Lake.,,,,,,King Mastery Sheet,63
Drum,1,Fishing,A very quick fish mastery. It drops in all 4 of the first fishing zones.,,,,,,King Mastery Sheet,65
Emerald,1,"Locksmith, Crafting","You shouldn't really worry about crafting these much, unless you spend a lot of time in Mount Banon. You'll get more than enough to GM from opening Large Chest 01.",,,,,,King Mastery Sheet,67
Fancy Pipe,1,Crafting,"Very easy, profitable mastery to work on early. Can be done 100% passive if you want, just make sure to sell when your inventory fills.",,,,,,King Mastery Sheet,77
Flamejack,1,Fishing,Quick Lake Minerva mastery. Make sure you sell as you go.,,,,,,King Mastery Sheet,82
Frosteye,1,Fishing,A quick and painless Glacier Lake mastery. Should be the first or second you get once unlocking the zone.,,,,,,King Mastery Sheet,90
Glass Bottle,1,Crafting,"You don't need to worry about focusing bottles specifically, you will naturally GM them by crafting daily juices and working on Lantern",,,,,,King Mastery Sheet,95
Glass Eye Urchin,1,,,,,,,,Missing from mastery_difficulty,
Glass Orb,1,Crafting,You will naturally master these while working on other GMs/daily production. Glass.,,,,,,King Mastery Sheet,97
Glassback,1,Fishing,Quick Glacier Lake mastery.,,,,,,King Mastery Sheet,98
Green Barracuda,1,Fishing,Fast Pirate's Cove mastery.,,,,,,King Mastery Sheet,106
Green Chromis,1,Fishing,Quick Small Island mastery. You can mail these to Geist for friendship xp.,,,,,,King Mastery Sheet,107
Green Parchment,1,Crafting,"Very cheap, very quick. Turn these into diaries please.",,,,,,King Mastery Sheet,112
Hammer,1,Crafting,"Pretty much the cheapest Mushroom Paste mastery. Do your best to craft these into Essence of Slime or Salt as you go, or the Exchange Center trade for Bell. If you just want to knock out a quick GM though, they're cheap enough to make later that selling shouldn't set you back much.",,,,,,King Mastery Sheet,116
Horseshoe,1,Crafting,A quick Stone mastery. Can by done completely passive through Quarry/Craftworks if you want. These sell for decent silver.,,Passive  - 1,,,,King Mastery Sheet,121
Ice Shark,1,Fishing,"The slowest Glacier Lake mastery, but still super fast with how much time you'll spend there for silver.",,,,,,King Mastery Sheet,123
Iron Cup,1,Crafting,"Very very cheap to craft. Send these to Lorn for friendship xp. Very reasonable MM as well, or a cheap item to manually craft for the Grand Artisan merit badge.",,Passive  - 1,,,,King Mastery Sheet,126
Iron Ring,1,Crafting,"Very cheap, very important for many other crafts. I would definitely recommend putting this in your craftworks after you unlock a few slots.",,Passive  - 1,,,,King Mastery Sheet,127
Jumbo Fish,1,Fishing,You should be fishing plenty in Pirate's Cove for silver while you work on leveling and unlocking Glacier Lake and tower levels.,,,,,,King Mastery Sheet,131
Ladder,1,Crafting,You can make these completely from passive production.,,Passive  - 1,,,,King Mastery Sheet,133
Largemouth Bass,1,Fishing,Easy fish from multiple locations.,,,,,,King Mastery Sheet,136
Leather,1,Crafting,"Byproduct of exploring the forest for nets, and also used in many other masteries. I would recommend that you don't kill your cows as it reduces your Milk production.",,,,,,King Mastery Sheet,138
Lemon Quartz Ring,1,Crafting,"Pretty easy and cheap. You get all the materials needed from exploring in Cane Pole Ridge, you'll just need to top up on paste every once in a while.",,,,,,King Mastery Sheet,144
Mackerel,1,Fishing,Quick fishy fish gm.,,,,,,King Mastery Sheet,149
Magenta Growth,1,,,,,,,,Missing from mastery_difficulty,
Mulberry Snapper,1,Fishing,"Quick Pirate Cove mastery. Very easy once you unlock the zone, and great for silver.",,,,,,King Mastery Sheet,155
Mushroom,1,Exploring,You should be exploring forest all the time for Antler. But they also come from plenty of other zones. I would not recommend growing these.,,,,,,King Mastery Sheet,156
Mushroom Paste,1,Crafting,Paste is the base for many other crafts. It will quickly become the root of all your troubles. Luckily you get mushrroms from exploring multiple zones. You will MM paste with multiple GMs that use it still not finished.,,,,,,King Mastery Sheet,157
Nailed Board,1,Crafting,Mastery doesn't get easier than this. Can be done passively.,,Passive  - 1,,,,King Mastery Sheet,161
Orcafish,1,Fishing,Another Pirate's Cove mastery. Quick and painless.,,,,,,King Mastery Sheet,167
