item_name,canonical_key,seen_in_mastery_export,prior_catalog_status,promotion_action,final_mastery_status,notes
Highland Hollow Charm,highland hollow charm,no,no,unchanged,no,No mastery inference made.
Spring Cave Charm,spring cave charm,no,no,unchanged,no,No mastery inference made.
Fenrir's Den Charm,fenrir's den charm,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Ember Caverns Charm,ember caverns charm,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Sol Grotto Charm,sol grotto charm,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 01,mining bag 01,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 02,mining bag 02,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 03,mining bag 03,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 04,mining bag 04,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 05,mining bag 05,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Mining Bag 06,mining bag 06,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Cid's Spare Pickaxe,cid's spare pickaxe,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Heavy Pickaxe,heavy pickaxe,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Green Gel,green gel,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Unpolished Peridot,unpolished peridot,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ancient Rune,ancient rune,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Condensed Gravicite,condensed gravicite,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Mossy Bone,mossy bone,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ruined Ether Drill,ruined ether drill,no,unknown,unknown_to_yes,yes,User explicitly confirmed this item is masterable on 2026-09-04.
Calmine Statue,calmine statue,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Gravity Orb,gravity orb,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Peridot,peridot,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Fossilized Viper,fossilized viper,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ancient Bird Fossil,ancient bird fossil,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Mossrock Mine Charm,mossrock mine charm,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Plum Iron,plum iron,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Mossroom,mossroom,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ocean Stone,ocean stone,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Refined Plum Ore,refined plum ore,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ancient Ram Fossil,ancient ram fossil,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Mossy Cog,mossy cog,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Gravicite,gravicite,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ruined Ether Hammer,ruined ether hammer,no,unknown,unknown_to_yes,yes,User explicitly confirmed this item is masterable on 2026-09-04.
Calmine Composite,calmine composite,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Refined Esperium,refined esperium,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Veinshard,veinshard,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Bright Lantern,bright lantern,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Quench,quench,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ornate Anvil,ornate anvil,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Joyful Ring,joyful ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Sunstone Ring,sunstone ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Fairy Ring,fairy ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Embershard Ring,embershard ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Aquacite Ring,aquacite ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ornate Flarite Ring,ornate flarite ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Deep Ocean Ring,deep ocean ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Flarite Ring,flarite ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Green Halite Ring,green halite ring,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Esperium Band,esperium band,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Green Halite Earrings,green halite earrings,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Shining Earrings,shining earrings,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Calmine Lotion,calmine lotion,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Potion of Clarity,potion of clarity,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Acid Extract,acid extract,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Tin Goblet,tin goblet,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Plum Goblet,plum goblet,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Horn Powder,horn powder,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Sparkle Dust,sparkle dust,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Garnet Walking Stick,garnet walking stick,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Reforged Sword,reforged sword,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Embershard Staff,embershard staff,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Chisel,chisel,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Ancient Pickaxe,ancient pickaxe,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Strong Wire,strong wire,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Pestle and Mortar,pestle and mortar,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Cave Paste,cave paste,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Pinecone Bird Feeder,pinecone bird feeder,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Redbrook Patch,redbrook patch,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Stained Glass Art,stained glass art,yes,yes,unchanged,yes,Masterable by direct mastery-export evidence.
Cid's Minecart 01,cid's minecart 01,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Detonator,detonator,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
Cid Buddy Doll,cid buddy doll,no,unknown,unknown_to_no,no,User explicitly confirmed this item is not masterable on 2026-09-04.
