quest_key,requirement_type,item_name,canonical_key,quantity,source_url,notes
"10,000 players!",item,Peppers,peppers,1,https://buddy.farm/i/peppers/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/peppers/; Page data: https://buddy.farm/page-data/i/peppers/page-data.json; Cache: peppers__peppers.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 52; Quest end date: 2021-06-22T04:59:59+00:00
12 days of christmas,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 620; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 620; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 620; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 621; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 621; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 621; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 621; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
