observed_item_name,canonical_key,owned_quantity,derived_craft_quantity,mastery_confirmation_status,evidence_source,evidence_date,review_status,notes
Orange Shirt,orange shirt,29293,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Sturdy Bow,sturdy bow,17491,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bamboo Chair,bamboo chair,21684,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Cannon,cannon,5064,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Milk Carton,milk carton,25112,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Small Bolt,small bolt,1,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Steel,steel,11092,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Steel Wire,steel wire,22052,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Strong Paste,strong paste,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Toilet Paper,toilet paper,26557,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Parchment,white parchment,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wine,wine,29710,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Cloth,cloth,4,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Veggie Juice,veggie juice,31211,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Dye,red dye,3546,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Handsaw,handsaw,31201,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Iced Tea,iced tea,28410,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Steel Plate,steel plate,510,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather,leather,1,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Glass Bottle,glass bottle,6230,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Glass Orb,glass orb,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Shimmer Stone,shimmer stone,1,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Twine,twine,1,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Rope,rope,964,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fishing Net,fishing net,5,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fire Ant Farm,fire ant farm,24747,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Large Net,large net,16517,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Orange Juice,orange juice,10346,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Lemonade,lemonade,252,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Acorn Butter,acorn butter,28847,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Amber Cane,amber cane,12982,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Ancient Pickaxe,ancient pickaxe,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Apple Cider,apple cider,31904,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Aquacite Ring,aquacite ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Awl,awl,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
