"questline_key","questline_name","quest_count_from_item_cache","slug"
"1,000,000 farmers","1,000,000 Farmers","9","1-000-000-farmers"
"10,000 players!","10,000 Players!","1","10-000-players"
"100,000","100,000","1","100-000"
"12 days of christmas","12 Days of Christmas","12","12-days-of-christmas"
"12 days of sweet treats","12 Days of Sweet Treats","12","12-days-of-sweet-treats"
"20,000 players!","20,000 Players!","1","20-000-players"
"200 patrons!","200 Patrons!","1","200-patrons"
"200,000","200,000","3","200-000"
"25,000","25,000","1","25-000"
"5 times even tastier","5 Times Even Tastier","5","5-times-even-tastier"
"5 times tastier","5 Times Tastier","5","5-times-tastier"
"50,000 players!","50,000 Players!","1","50-000-players"
"60,000","60,000","1","60-000"
"75,000","75,000","1","75-000"
"750,000 farmers","750,000 Farmers","8","750-000-farmers"
"99 bottles","99 Bottles","99","99-bottles"
"a bear skin rug","A Bear Skin Rug","1","a-bear-skin-rug"
"a better understanding","A Better Understanding","2","a-better-understanding"
"a captain's voyage","A Captain?s Voyage","7","a-captain-s-voyage"
"a celebration of freedom","A Celebration of Freedom","5","a-celebration-of-freedom"
"a cog in the wheel","A Cog In The Wheel","1","a-cog-in-the-wheel"
"a cold start","A Cold Start","2","a-cold-start"
"a difficult option requires bravery sometimes","A Difficult Option Requires Bravery Sometimes","13","a-difficult-option-requires-bravery-sometimes"
"a feathery thanks","A Feathery Thanks","1","a-feathery-thanks"
"a few of his favorite things","A Few Of His Favorite Things","1","a-few-of-his-favorite-things"
"a fool and their money","A Fool And Their Money","1","a-fool-and-their-money"
"a game of thanks","A Game Of Thanks","4","a-game-of-thanks"
"a great way to unwind","A Great Way To Unwind","2","a-great-way-to-unwind"
"a horse of a different color","A Horse Of A Different Color","7","a-horse-of-a-different-color"
"a horse, afraid","A Horse, Afraid","1","a-horse-afraid"
"a little cheer","A Little Cheer","3","a-little-cheer"
"a little gardening","A Little Gardening","3","a-little-gardening"
"a little luckier","A Little Luckier","2","a-little-luckier"
"a lot of trees","A Lot Of Trees","19","a-lot-of-trees"
"a moo hope","A Moo Hope","9","a-moo-hope"
"a new town hall","A New Town Hall","1","a-new-town-hall"
"a new year","A New Year","4","a-new-year"
"a new year extra","A New Year Extra","1","a-new-year-extra"
"a pearl jam","A Pearl Jam","9","a-pearl-jam"
"a peg leg","A Peg Leg","1","a-peg-leg"
"a pinata trouble","A Pinata Trouble","8","a-pinata-trouble"
"a real gem","A Real Gem","1","a-real-gem"
"a ring for every finger","A Ring for Every Finger","1","a-ring-for-every-finger"
"a slime covered wish","A Slime Covered Wish","2","a-slime-covered-wish"
"a small gift","A Small Gift","5","a-small-gift"
"a study of color","A Study of Color","16","a-study-of-color"
"a study of spuds","A Study of Spuds","8","a-study-of-spuds"
"a taste for gold","A Taste for Gold","1","a-taste-for-gold"
"a tower divided","A Tower Divided","3","a-tower-divided"
"a tower redecorated","A Tower Redecorated","3","a-tower-redecorated"
"a tower remade","A Tower Remade","2","a-tower-remade"
"a towering investment","A Towering Investment","18","a-towering-investment"
"a wall in the way","A Wall In The Way","15","a-wall-in-the-way"
"a way back","A Way Back","33","a-way-back"
"a way forward","A Way Forward","11","a-way-forward"
"a way to say thanks","A Way to Say Thanks","1","a-way-to-say-thanks"
"acorns a callin","Acorns A Callin","1","acorns-a-callin"
"air of celebration","Air of Celebration","2","air-of-celebration"
"always be corn-ing","Always Be Corn-ing","7","always-be-corn-ing"
"an apple a day...","An Apple a Day...","1","an-apple-a-day"
"an exchange of prisoners","An Exchange of Prisoners","1","an-exchange-of-prisoners"
"an interesting lunch","An Interesting Lunch","2","an-interesting-lunch"
"an owl's best friend","An Owl's Best Friend","1","an-owls-best-friend"
"another lot of trees","Another Lot Of Trees","9","another-lot-of-trees"
"april trout brings may flowers","April Trout Brings May Flowers","24","april-trout-brings-may-flowers"
"archeology requires knowhow","Archeology Requires Knowhow","17","archeology-requires-knowhow"
"archery practice","Archery Practice","1","archery-practice"
"art of gaming","Art Of Gaming","2","art-of-gaming"
"artistic rosalie","Artistic Rosalie","6","artistic-rosalie"
"as the horse clops","As The Horse Clops","1","as-the-horse-clops"
"augment redbrook through masonry","Augment Redbrook Through Masonry","1","augment-redbrook-through-masonry"
"bad dirt","Bad Dirt","3","bad-dirt"
"bad luck tempering","Bad Luck Tempering","1","bad-luck-tempering"
"baited and outsmarted","Baited And Outsmarted","7","baited-and-outsmarted"
"banana stand","Banana Stand","3","banana-stand"
"be mine","Be Mine","11","be-mine"
"beach bum","Beach Bum","4","beach-bum"
"beach bum hard mode","Beach Bum Hard Mode","1","beach-bum-hard-mode"
"beaches are like deserts","Beaches Are Like Deserts","2","beaches-are-like-deserts"
"bearly hygienic enough","Bearly Hygienic Enough","2","bearly-hygienic-enough"
"befriending buddy","Befriending Buddy","4","befriending-buddy"
"belt out of shape","Belt out of Shape","6","belt-out-of-shape"
"best served thawed","Best Served Thawed","3","best-served-thawed"
"best stored frozen","Best Stored Frozen","7","best-stored-frozen"
"better late than never","Better Late Than Never","4","better-late-than-never"
"bff <3","BFF <3","4","bff-3"
"big boom","Big Boom","5","big-boom"
"big finale","Big Finale","1","big-finale"
"bling things","Bling Things","2","bling-things"
"blizzard warning","Blizzard Warning","1","blizzard-warning"
"blizzard warning ii - a","Blizzard Warning II - A","1","blizzard-warning-ii-a"
"blizzard warning ii - b","Blizzard Warning II - B","1","blizzard-warning-ii-b"
"blizzard warning iii -","Blizzard Warning III -","2","blizzard-warning-iii"
"blizzard warning iii - a","Blizzard Warning III - A","1","blizzard-warning-iii-a"
"blizzard warning iii - b","Blizzard Warning III - B","1","blizzard-warning-iii-b"
"blizzard warning iv -","Blizzard Warning IV -","2","blizzard-warning-iv"
"blizzard warning iv - a","Blizzard Warning IV - A","1","blizzard-warning-iv-a"
"blizzard warning iv - b","Blizzard Warning IV - B","1","blizzard-warning-iv-b"
"blizzard warning iv - e","Blizzard Warning IV - E","1","blizzard-warning-iv-e"
"blizzard warning iv - f","Blizzard Warning IV - F","1","blizzard-warning-iv-f"
"blizzard warning iv - g","Blizzard Warning IV - G","1","blizzard-warning-iv-g"
"blizzard warning iv - h","Blizzard Warning IV - H","1","blizzard-warning-iv-h"
"blooming thaw already","Blooming Thaw Already","6","blooming-thaw-already"
"blue diamond fish","Blue Diamond Fish","8","blue-diamond-fish"
"bombs bursting","Bombs Bursting","2","bombs-bursting"
"bons temps","Bons Temps","6","bons-temps"
"book of dewstar mastery","Book of Dewstar Mastery","12","book-of-dewstar-mastery"
"booms open opportunities, mark successes","Booms Open Opportunities, Mark Successes","4","booms-open-opportunities-mark-successes"
"booms, our other monetary system","Booms, Our Other Monetary System","4","booms-our-other-monetary-system"
"borgen builds a nest egg","Borgen Builds a Nest Egg","7","borgen-builds-a-nest-egg"
"breaking the ice","Breaking The Ice","6","breaking-the-ice"
"breaking the ice even icier","Breaking The Ice Even Icier","4","breaking-the-ice-even-icier"
"bright horseshoe","Bright Horseshoe","1","bright-horseshoe"
"bringing egg-sy back","Bringing Egg-sy Back","29","bringing-egg-sy-back"
