quest_key,requirement_type,item_name,canonical_key,quantity,source_url,notes
cloistered cluster i,item,Glyph Sphere,glyph sphere,1,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Small Chest 01,small chest 01,1,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
a better juice i,item,Grape Juice,grape juice,1000,https://buddy.farm/q/a-better-juice-i/,BL-339 bounded August questline verification.
a better juice ii,item,Prune Juice,prune juice,2,https://buddy.farm/q/a-better-juice-ii/,BL-339 bounded August questline verification.
a better juice iii,item,Peach Juice,peach juice,200,https://buddy.farm/q/a-better-juice-iii/,BL-339 bounded August questline verification.
a better juice iv,item,Fruit Punch,fruit punch,200,https://buddy.farm/q/a-better-juice-iv/,BL-339 bounded August questline verification.
a better juice v,item,Veggie Juice,veggie juice,2500,https://buddy.farm/q/a-better-juice-v/,BL-339 bounded August questline verification.
daily dairy i,item,Wooden Plank,wooden plank,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Board,board,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Steel,steel,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Ladder,ladder,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Rope,rope,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Nailed Board,nailed board,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Wrench,wrench,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Wood Planer,wood planer,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Hammer,hammer,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Handsaw,handsaw,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Block of Wood,block of wood,15000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy ii,item,Red Dye,red dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,White Dye,white dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Blue Dye,blue dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Green Dye,green dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Purple Dye,purple dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Orange Dye,orange dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Black Dye,black dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Brown Dye,brown dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Yellow Dye,yellow dye,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Bucket,bucket,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Wooden Plank,wooden plank,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Board,board,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Steel,steel,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Ladder,ladder,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Rope,rope,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Nailed Board,nailed board,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Step Ladder,step ladder,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Rucksack,rucksack,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Straw,straw,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Linked Lantern,linked lantern,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Leather Belt,leather belt,15000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy iii,item,Wooden Plank,wooden plank,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Board,board,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Steel,steel,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Ladder,ladder,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Rope,rope,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Nailed Board,nailed board,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Hammer,hammer,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Handsaw,handsaw,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Pine Shavings,pine shavings,7500,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Block of Wood,block of wood,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Scissors,scissors,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Leather Bag,leather bag,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Feed,feed,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Shovel,shovel,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
