observed_item_name,canonical_key,evidence_source,evidence_date,generated_buddy_slug,candidate_buddy_url,alternate_buddy_slug,confirmed_buddy_slug,buddy_confirmation_status,farmrpg_item_id,mastery_confirmation_status,recipe_review_status,recipe_mastery_hint,source_review_status,icon_asset_url,icon_review_status,notes
Ancient Bird Fossil,ancient bird fossil,user screenshots + user report,2026-08-31,ancient-bird-fossil,https://buddy.farm/i/ancient-bird-fossil/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Ancient Pickaxe,ancient pickaxe,user screenshots + user report,2026-08-31,ancient-pickaxe,https://buddy.farm/i/ancient-pickaxe/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Ancient Ram Fossil,ancient ram fossil,user screenshots + user report,2026-08-31,ancient-ram-fossil,https://buddy.farm/i/ancient-ram-fossil/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Bright Lantern,bright lantern,user screenshots + user report,2026-08-31,bright-lantern,https://buddy.farm/i/bright-lantern/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Calmine Composite,calmine composite,user screenshots + user report,2026-08-31,calmine-composite,https://buddy.farm/i/calmine-composite/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Calmine Lotion,calmine lotion,user screenshots + user report,2026-08-31,calmine-lotion,https://buddy.farm/i/calmine-lotion/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Calmine Statue,calmine statue,user screenshots + user report,2026-08-31,calmine-statue,https://buddy.farm/i/calmine-statue/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Cave Paste,cave paste,user screenshots + user report,2026-08-31,cave-paste,https://buddy.farm/i/cave-paste/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Chisel,chisel,user screenshots + user report,2026-08-31,chisel,https://buddy.farm/i/chisel/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Condensed Gravicite,condensed gravicite,user screenshots + user report,2026-08-31,condensed-gravicite,https://buddy.farm/i/condensed-gravicite/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
