item_name,canonical_key,buddy_url,notes
Salt,salt,https://buddy.farm/i/salt/,"BL-247 initial source-planning target; pet/openable/Wishing Well coverage check"
Frost Snapper Shell,frost_snapper_shell,https://buddy.farm/i/frost-snapper-shell/,"BL-247 initial source-planning target; large-net planning and Distant Illusions coverage"
Spiked Shell,spiked_shell,https://buddy.farm/i/spiked-shell/,"BL-247 initial source-planning target; large-net and Wishing Well planning coverage"
Large Net,large_net,https://buddy.farm/i/large-net/,"BL-247 initial source-planning target; active fishing source unit"
Fishing Net,fishing_net,https://buddy.farm/i/fishing-net/,"BL-247 initial source-planning target; recursive net crafting input"
Antler,antler,https://buddy.farm/i/antler/,"BL-247 initial source-planning target; Tower artifact and pet-recursive net source"
Apple Cider,apple_cider,https://buddy.farm/i/apple-cider/,"BL-247 initial source-planning target; active explore source unit"
Corn Prize Bag,corn_prize_bag,https://buddy.farm/i/corn-prize-bag/,"BL-247 initial source-planning target; Salt openable source check"
Large Chest 03,large_chest_03,https://buddy.farm/i/large-chest-03/,"BL-247 initial source-planning target; reviewed Salt openable source check"
Orange Gecko,orange_gecko,https://buddy.farm/i/orange-gecko/,"BL-247 initial source-planning target; explore-source and quest bottleneck coverage"
